ONS.Code,Local.authority.name,Number.of.defences,Average.defence.condition..1.5.,Average.condition.maintatained.by.EA..1.5.,Proportion.above.required.condiiton,Proportion.maintained.by.EA
E10000017,Lancashire,879,2.95,2.92,96.50%,69.70%
E10000018,Leicestershire,231,2.71,2.69,97.80%,78.80%
E10000019,Lincolnshire,3673,2.51,2.51,94.70%,90.80%
E10000020,Norfolk,1479,2.82,2.83,97.60%,90.70%
E10000021,Northamptonshire,329,2.52,2.56,99.40%,50.20%
E10000023,North Yorkshire,712,2.93,2.87,87.10%,82.00%
E10000024,Nottinghamshire,382,2.74,2.73,89.80%,90.60%
E10000025,Oxfordshire,62,2.29,2.48,96.80%,37.10%
E10000027,Somerset,1180,2.72,2.76,93.40%,80.60%
E10000028,Staffordshire,186,2.58,2.54,94.60%,83.30%
E10000029,Suffolk,648,2.82,2.82,92.90%,86.10%
E10000030,Surrey,132,2.61,2.61,86.40%,54.50%
E10000031,Warwickshire,97,2.63,2.63,89.70%,69.10%
E10000032,West Sussex,368,2.55,2.5,95.40%,58.70%
E10000034,Worcestershire,284,2.51,2.42,96.80%,39.80%
E12000007,Greater London,3433,2.39,2.44,98.00%,7.90%
